"CNT","GDP","life.expectancy"
"Afghanistan",1906.651322,56.2
"Albania",10296.34371,75.8
"Algeria",12956.59857,76.3
"Andorra",43734.64,83.9
"Angola",7319.345043,60.4
"Barbuda",20642.51044,75.2
"Argentina",17628.58635,76
"Armenia",7501.129225,73.8
"Aruba",36083.40849,75.455
"Australia",42943.25741,81.8
"Austria",44446.494,80.8
"Azerbaijan",16667.04226,72.3
"Bahamas",23140.8805,72.5
"Bahrain",41778.35788,79
"Bangladesh",2841.445222,69.5
"Barbados",15191.95829,75.6
"Belarus",17073.49068,70.2
"Belgium",40451.38075,80.2
"Belize",8356.007246,70
"Benin",1733.67741,64.9
"Bhutan",7654.52162,69.4
"Bolivia",5908.4476,71.9
"Bosnia and Herzegovina",9275.607035,77.5
"Botswana",14859.84576,65.8
"Brazil",14529.00045,75
"Brunei",69551.63373,78.7
"Bulgaria",15690.75374,74.5
"Burkina Faso",1591.001683,62
"Burundi",757.9168436,59.8
"Cambodia",2978.60991,67.8
"Cameroon",2718.650413,58.7
"Canada",41903.9372,81.5
"Cape Verde",6175.483859,74.2
"Central African Republic",584.5845617,52.8
"Chad",2036.312314,57.1
"Chile",21761.83896,79.1
"China",11523.45412,76.5
"Colombia",12026.27537,75.6
"Comoros",1409.048039,63.7
"Congo. Dem. Rep.",780.1684265,57.5
"Republic of Congo",5745.529372,61.5
"Costa Rica",13335.08627,79.8
"Cote d'Ivoire",3026.261882,58.9
"Croatia",19984.06285,77.8
"Cuba",19962.67642,78.3
"Cyprus",27144.35739,82.2
"Czech Republic",27840.49374,78.2
"Denmark",42597.36986,79.9
"Djibouti",2882.393598,63.4
"Dominica",10292.224,74.4
"Dominican Republic",11754.93235,73.6
"Ecuador",10480.92172,74.8
"Egypt",10597.77339,70.9
"El Salvador",7535.506001,73.9
"Equatorial Guinea",32667.01962,58.8
"Eritrea",1157.807957,62.1
"Estonia",25743.92885,76.6
"Ethiopia",1330.522942,62.6
"Fiji",7498.413934,66.1
"Finland",38962.08191,80.6
"France",37071.94461,81.7
"Gabon",18985.34319,59.1
"Gambia",1638.01855,64.3
"Georgia",6907.87237,72.9
"Germany",42739.38791,80.7
"Ghana",3727.976323,64.9
"Greece",24230.35747,79.8
"Greenland",26687.63224,71.5
"Grenada",11113.20552,71.5
"Guatemala",7056.934454,72.3
"Guinea",1216.222148,60.2
"Guinea-Bissau",1380.794509,52.8
"Guyana",6326.802171,64
"Haiti",1648.39924,64.3
"Honduras",4444.779659,72
"China",51408.22034,83.378
"Hungary",22852.35977,75.8
"Iceland",41189.15995,82.8
"India",5197.96421,66.2
"Indonesia",9219.762933,70.5
"Iran",14446.0615,78.3
"Iraq",14302.28177,71.3
"Ireland",43194.68208,80.4
"Israel",30836.26046,82.2
"Italy",34231.86954,82.1
"Jamaica",8398.402982,75.5
"Japan",35502.20792,83.3
"Jordan",11436.91358,78.1
"Kazakhstan",22458.6073,67.8
"Kenya",2703.506268,65.2
"Kiribati",1779.230111,62
"North Korea",1392.350129,71.2
"South Korea",32565.97773,80.5
"Kuwait",83580.73179,80.3
"Kyrgyzstan",3136.181707,68.6
"Laos",4645.545511,65.8
"Latvia",21786.90106,75.3
"Lebanon",16525.4055,78.3
"Lesotho",2531.24062,48.3
"Liberia",809.774081,63.1
"Libya",20432.44049,75.6
"Lithuania",24343.01959,75
"Luxembourg",88086.22324,81.1
"Macao",138024.9067,80.4
"Macedonia",11577.63013,76.6
"Madagascar",1369.087722,64.3
"Malawi",755.0678724,57.3
"Malaysia",22813.82801,74.7
"Maldives",11294.90633,79.3
"Mali",1586.600912,57.2
"Malta",29019.94324,82.1
"Marshall Islands",3581.654513,64.7
"Mauritania",2949.123462,65.1
"Mauritius",16601.34594,73.3
"Mexico",16301.35489,75.5
"Micronesia",3448.449832,66.8
"Moldova",4516.957358,71.9
"Mongolia",9046.172589,64.7
"Montenegro",14115.84739,75.6
"Morocco",7044.708865,74.3
"Mozambique",1067.998465,56.2
"Myanmar",3526.477926,67.1
"Namibia",9390.917346,60.6
"Nepal",2160.232678,70.6
"Netherlands",45084.70776,80.6
"New Zealand",32761.87587,80.6
"Nicaragua",4522.062584,76.4
"Niger",896.3267293,61.6
"Nigeria",5596.927061,60.1
"Norway",62555.82357,81.4
"Oman",48111.19964,75.5
"Pakistan",4424.351285,65.7
"Panama",18768.07482,77.8
"Papua New Guinea",2426.0657,59.8
"Paraguay",7744.638775,73.7
"Peru",11288.55087,77.1
"Philippines",6327.593651,70
"Poland",22886.43536,76.9
"Portugal",25474.69911,79.8
"Puerto Rico",33637.58076,78.864
"Qatar",127467.5457,81.8
"Romania",18175.23003,76
"Russia",23632.91226,71.3
"Rwanda",1439.349859,65.3
"Saint Lucia",10111.34573,74.5
"Saint Vincent",10218.82538,72.7
"Samoa",5760.047688,71.8
"Sao Tome and Principe",2642.390836,68.4
"Saudi Arabia",51153.17213,77.9
"Senegal",2197.647884,65.7
"Serbia",12746.25636,77.7
"Seychelles",23335.49317,73.3
"Sierra Leone",1797.693585,57.7
"Singapore",75950.31921,81.9
"Slovaka",26176.33486,76.2
"Slovenia",27559.54644,80
"Solomon Islands",1998.61552,63.7
"Somalia",619,57.7
"South Africa",12105.64707,60.4
"South Sudan",2079.737751,57.2
"Spain",31764.71294,81.7
"Sri Lanka",9130.076309,76.1
"Sudan",3356.199132,68.9
"Suriname",16170.73184,70.1
"Swaziland",6509.1393,50.7
"Sweden",44250.54384,81.8
"Switzerland",54932.83929,82.7
"Syria",5464.238331,72.4
"Taiwan",40214.34736,79.3
"Tajikistan",2450.011675,70.6
"Tanzania",1730.882872,62.2
"Thailand",13887.44525,74.9
"Timor-Leste",2168.36303,71.4
"Togo",1352.243882,63
"Tonga",5161.836791,70.3
"Trinidad",29330.69617,71.2
"Tunisia",10646.60373,77.1
"Turkey",18541.94168,76.3
"Turkmenistan",13467.52709,67.5
"Uganda",1362.356486,59.8
"Ukraine",8353.251665,71.7
"United Arab Emirates",58097.93606,76.4
"UK",36897.69617,81
"USA",51418.7033,78.9
"Uruguay",18976.19912,76.9
"Uzbekistan",4961.686441,69.7
"Vanuatu",2803.403866,64.6
"Venezuela",17542.32522,75.4
"Vietnam",5125.636182,76.3
"West Bank and Gaza",4484.433787,74.6
"Yemen",3789.168722,67
"Zambia",3793.949716,56.7
"Zimbabwe",1785.392867,56
