Life expectancy with projections. Yellow is IHME,2007,2008,2009,2010,2011,2012,2013
Afghanistan,53.6,54,54.5,54.8,55.2,55.5,56.2
Albania,74.7,74.9,75,75.2,75.5,75.7,75.8
Algeria,75,75.3,75.6,75.9,76.1,76.2,76.3
American Samoa,,,,,,,
Andorra,83.4,83.5,83.6,83.7,83.8,83.8,83.9
Angola,57.6,58.3,58.9,59.4,59.7,60.1,60.4
Anguilla,,,,,,,
Antigua and Barbuda,74.6,74.8,75.1,75.2,75.2,75.2,75.2
Argentina,75.4,75.5,75.6,75.8,75.9,75.9,76
Armenia,72.3,72.5,72.6,72.9,73.2,73.5,73.8
Aruba,74.621,74.772,74.919,75.059,75.193,75.324,75.455
Australia,81.5,81.5,81.6,81.7,81.8,81.8,81.8
Austria,80.2,80.4,80.4,80.5,80.7,80.7,80.8
Azerbaijan,70.3,70.6,71,71.4,71.7,72,72.3
Bahamas,72.1,72.2,72.3,72.4,72.5,72.6,72.5
Bahrain,76.4,77.1,77.7,78.2,78.4,78.9,79
Bangladesh,68.1,68.4,68.5,68.6,68.9,69.2,69.5
Barbados,75.2,75.3,75.3,75.4,75.5,75.5,75.6
Belarus,69.8,70.1,70.2,70.2,70.1,70.1,70.2
Belgium,79.4,79.4,79.6,79.8,80,80.1,80.2
Belize,70.8,70.7,70.3,70.1,70,70,70
Benin,62.7,63.2,63.6,64,64.3,64.6,64.9
Bermuda,,,,,,,
Bhutan,67.3,67.6,67.9,68.3,68.7,69,69.4
Bolivia,70.6,70.9,71.1,71.3,71.5,71.7,71.9
Bosnia and Herzegovina,75.6,75.9,76.2,76.5,77,77.3,77.5
Botswana,60.1,61.2,62.6,64.5,65.7,65.5,65.8
Brazil,73.8,73.9,74,74.2,74.5,74.7,75
British Virgin Islands,,,,,,,
Brunei,77.5,77.8,78.1,78.5,78.7,78.7,78.7
Bulgaria,72.9,73.2,73.3,73.6,74,74.3,74.5
Burkina Faso,58.6,59.4,60,60.7,61.2,61.6,62
Burundi,56.5,57.4,58.2,58.7,59.1,59.5,59.8
Cambodia,65.8,66.2,66.6,66.9,67.2,67.5,67.8
Cameroon,56,56.6,57.1,57.5,57.9,58.3,58.7
Canada,80.6,80.7,80.9,81.1,81.3,81.4,81.5
Cape Verde,72.5,72.9,73.1,73.4,73.7,74,74.2
Cayman Islands,,,,,,,
Central African Rep.,49.6,50.3,51.1,51.7,52.1,52.3,52.8
Chad,54.5,54.8,55.5,56.2,56.5,56.8,57.1
Channel Islands,79.375,79.57,79.745,79.902,80.047,80.186,80.324
Chile,78.8,78.9,78.8,78.8,78.9,79,79.1
China,74.9,75.1,75.6,75.9,76.1,76.3,76.5
Christmas Island,,,,,,,
Cocos Island,,,,,,,
Colombia,74.9,75.1,75.3,75.3,75.4,75.5,75.6
Comoros,62.4,62.6,62.8,63,63.3,63.5,63.7
Congo. Dem. Rep.,55.1,55.4,55.8,56.3,56.7,57.1,57.5
Congo. Rep.,57.9,58.6,59.6,60.3,60.8,61.3,61.5
Cook Islands,,,,,,,
Costa Rica,79.5,79.7,79.6,79.6,79.6,79.7,79.8
Cote d'Ivoire,55.2,55.9,56.5,57.2,57.8,58.2,58.9
Croatia,76.3,76.5,76.7,77.2,77.5,77.7,77.8
Cuba,77.6,77.8,77.9,78,78.1,78.2,78.3
Cyprus,80.9,81.1,81.4,81.6,81.9,82,82.2
Czech Rep.,76.8,77,77.2,77.4,77.7,78,78.2
Denmark,78.5,78.7,79,79.3,79.6,79.8,79.9
Djibouti,60.6,61,61.4,61.8,62.2,62.8,63.4
Dominica,74.4,74.5,74.6,74.4,74.3,74.3,74.4
Dominican Rep.,72.2,72.5,72.7,73.1,73.3,73.5,73.6
Ecuador,73.9,74,74.1,74.2,74.4,74.6,74.8
Egypt,70.1,70.1,70.2,70.3,70.5,70.7,70.9
El Salvador,73.7,74.1,74,73.8,73.7,73.8,73.9
Equatorial Guinea,56.3,56.7,56.9,57.2,57.4,57.9,58.8
Eritrea,60,60.4,60.7,61,61.3,61.7,62.1
Estonia,73.2,74,75,75.8,76.3,76.5,76.6
Ethiopia,58.6,59.5,60.3,61,61.6,62.1,62.6
Faeroe Islands,,,,,,,
Falkland Islands (Malvinas),,,,,,,
Fiji,65.6,65.7,65.8,65.9,66,66,66.1
Finland,79.2,79.4,79.7,80,80.3,80.5,80.6
France,80.9,81,81,81.2,81.4,81.6,81.7
French Guiana,75.824,76.009,76.21,76.426,76.653,76.887,77.121
French Polynesia,74.812,75.109,75.377,75.618,75.838,76.048,76.257
Gabon,57.7,57.5,57.3,57.5,57.8,58.4,59.1
Gambia,61.9,62.2,62.6,63,63.5,63.9,64.3
Georgia,72.4,72.1,72.4,72.4,72.6,72.7,72.9
Germany,79.8,80,80,80.2,80.3,80.5,80.7
Ghana,62.3,62.7,63.1,63.5,64,64.6,64.9
Gibraltar,,,,,,,
Greece,79.4,79.5,79.5,79.6,79.7,79.8,79.8
Greenland,70.035,70.275,70.525,70.775,71.025,71.275,71.5
Grenada,70.6,70.9,71.2,71.2,71.3,71.4,71.5
Guadeloupe,79.247,79.548,79.848,80.141,80.425,80.694,80.947
Guam,77.233,77.505,77.776,78.046,78.316,78.586,78.854
Guatemala,70.6,70.8,70.7,70.8,71.4,71.9,72.3
Guernsey,,,,,,,
Guinea,58,58.3,58.7,59.1,59.5,59.9,60.2
Guinea-Bissau,51.1,51.3,51.7,52,52.2,52.5,52.8
Guyana,63.1,63,63.1,63.3,63.5,63.8,64
Haiti,61.3,61.7,62.4,37,63.3,63.8,64.3
Holy See,,,,,,,
Honduras,70.6,70.9,71.1,71.3,71.6,71.8,72
Hong Kong. China,82.31,82.488,82.663,82.84,83.019,83.199,83.378
Hungary,73.4,73.8,74.2,74.7,75.2,75.6,75.8
Iceland,81.8,82,82.2,82.5,82.7,82.8,82.8
India,64,64.4,64.7,65.1,65.5,65.9,66.2
Indonesia,69.4,69.5,69.6,69.8,70,70.3,70.5
Iran,76.2,76.9,77.5,77.9,78.1,78.2,78.3
Iraq,64.3,66.6,68.1,68.3,70.6,70.9,71.3
Ireland,79.4,79.4,79.6,79.9,80.2,80.4,80.4
Isle of Man,,,,,,,
Israel,80.6,80.9,81.2,81.5,81.8,82.1,82.2
Italy,81.3,81.4,81.6,81.9,82,82.1,82.1
Jamaica,75.4,75.5,75.6,75.5,75.6,75.5,75.5
Japan,82.5,82.6,82.8,83,82.8,83.2,83.3
Jersey,,,,,,,
Jordan,76.1,76.8,77.3,77.6,77.9,78,78.1
Kazakhstan,65.5,66.1,66.6,67.1,67.4,67.6,67.8
Kenya,60.6,61.5,62.2,63.1,63.9,64.5,65.2
Kiribati,61,61.1,61.3,61.5,61.7,61.8,62
Korea. Dem. Rep.,70.3,70.6,70.7,70.8,71,71.1,71.2
Korea. Rep.,79.5,79.7,79.8,80,80.3,80.4,80.5
Kosovo,,,,,,,
Kuwait,78,78.2,78.6,79.1,79.7,80.1,80.3
Kyrgyzstan,66.7,67.1,67.5,67.8,68.2,68.4,68.6
Laos,63.2,63.8,64.3,64.8,65.2,65.5,65.8
Latvia,71.3,72.3,73.2,74,74.7,75.1,75.3
Lebanon,77.2,77.6,77.8,78,76.2,78.2,78.3
Lesotho,44.4,45.2,46.3,47.4,48.3,48.2,48.3
Liberia,60.5,61,61.3,61.7,62.2,62.7,63.1
Libya,75.2,75.3,75.5,75.6,67.7,75.3,75.6
Liechtenstein,,,,,,,
Lithuania,71.2,72,73.1,73.9,74.5,74.8,75
Luxembourg,80.4,80.7,80.9,81,81.1,81.1,81.1
Macao. China,79.103,79.32,79.538,79.754,79.971,80.186,80.4
Macedonia. FYR,75.2,75.4,75.6,75.8,76.1,76.4,76.6
Madagascar,63.1,63.4,63.6,63.8,63.9,64.1,64.3
Malawi,50.3,51.4,52.6,53.8,54.8,55.9,57.3
Malaysia,74.6,74.5,74.3,74.3,74.4,74.5,74.7
Maldives,77.8,78.2,78.6,78.9,79.1,79.2,79.3
Mali,55.3,55.8,56.2,56.5,56.8,57,57.2
Malta,81.2,81.4,81.6,81.8,82,82.1,82.1
Marshall Islands,63.6,63.7,63.9,64.1,64.3,64.5,64.7
Martinique,80.014,80.243,80.475,80.71,80.945,81.18,81.41
Mauritania,63.3,63.6,63.9,64.2,64.5,64.8,65.1
Mauritius,72.1,72.1,72.2,72.4,72.7,73,73.3
Mayotte,77.799,78.052,78.291,78.519,78.742,78.964,79.19
Mexico,75.9,75.7,75.5,75.7,76.2,76,75.5
Micronesia. Fed. Sts.,65.9,66.1,66.2,66.4,66.5,66.7,66.8
Moldova,69.4,69.6,69.8,70.2,70.9,71.5,71.9
Monaco,,,,,,,
Mongolia,62.9,63.2,63.5,63.8,64.1,64.4,64.7
Montenegro,74.4,74.6,74.9,75.2,75.4,75.5,75.6
Montserrat,,,,,,,
Morocco,73,73.3,73.5,73.7,73.9,74.1,74.3
Mozambique,54.4,55,55.4,55.7,56,56.1,56.2
Myanmar,64.7,60.8,65.6,66,66.4,66.7,67.1
Namibia,55.4,57.2,58.5,59.5,60,60.4,60.6
Nauru,,,,,,,
Nepal,68.2,68.6,69,69.5,69.9,70.3,70.6
Netherlands,80.1,80.3,80.4,80.5,80.6,80.6,80.6
Netherlands Antilles,75.981,76.184,76.363,76.518,76.652,76.774,76.894
New Caledonia,75.05,75.259,75.466,75.674,75.882,76.092,76.306
New Zealand,80.1,80.2,80.3,80.5,80.6,80.6,80.6
Nicaragua,75,75.2,75.5,75.8,76,76.2,76.4
Niger,59.1,59.7,60.3,60.7,61,61.3,61.6
Nigeria,57.7,58,58.5,58.8,59.1,59.5,60.1
Niue,,,,,,,
Norfolk Island,,,,,,,
Northern Cyprus,,,,,,,
Northern Mariana Islands,,,,,,,
Norway,80.6,80.7,80.8,80.9,81.1,81.3,81.4
Oman,74.3,74.6,74.8,75,75.2,75.4,75.5
Pakistan,63.8,64.1,64.4,64.7,65,65.3,65.7
Palau,,,,,,,
Panama,77.1,77.1,77.1,77.2,77.4,77.6,77.8
Papua New Guinea,57.8,58.2,58.4,58.7,59.1,59.4,59.8
Paraguay,73.6,73.6,73.5,73.4,73.5,73.6,73.7
Peru,76.6,76.8,76.7,76.8,76.8,76.9,77.1
Philippines,69.3,69.4,69.5,69.7,69.8,69.9,70
Pitcairn,,,,,,,
Poland,75.1,75.3,75.6,76.1,76.5,76.7,76.9
Portugal,79,79.2,79.3,79.5,79.7,79.8,79.8
Puerto Rico,77.789,77.971,78.148,78.326,78.506,78.686,78.864
Qatar,79.9,80.4,80.9,81.3,81.6,81.7,81.8
Reunion,78.078,78.348,78.615,78.879,79.141,79.397,79.646
Romania,73.3,73.4,73.5,74,74.9,75.6,76
Russia,67.2,67.6,68.3,68.7,69.4,70.4,71.3
Rwanda,61,62.2,62.9,63.7,64.3,64.7,65.3
Saint Barthélemy,,,,,,,
Saint Helena,,,,,,,
Saint Kitts and Nevis,,,,,,,
Saint Lucia,73.9,74.2,74.4,74.3,74.5,74.5,74.5
Saint Martin,,,,,,,
Saint Vincent and the Grenadines,71.2,71.6,72.1,72.3,72.4,72.6,72.7
Saint-Pierre-et-Miquelon,,,,,,,
Samoa,71.3,71.4,69.9,71.6,71.6,71.6,71.8
San Marino,,,,,,,
Sao Tome and Principe,66.8,67.1,67.4,67.6,67.9,68.2,68.4
Saudi Arabia,77.4,77.5,77.6,77.7,77.8,77.8,77.9
Senegal,63.9,64.3,64.7,65,65.2,65.5,65.7
Serbia,76.2,76.4,76.7,77,77.3,77.5,77.7
Serbia excluding Kosovo,,,,,,,
Seychelles,72.4,72.6,72.7,72.8,72.9,73.1,73.3
Sierra Leone,55.5,55.9,56.1,56.5,56.8,57.3,57.7
Singapore,80.7,80.9,81.2,81.5,81.8,81.8,81.9
Slovak Republic,74.5,74.8,75.1,75.5,75.9,76.1,76.2
Slovenia,78,78.5,79,79.5,79.8,79.9,80
Solomon Islands,62.2,62.6,62.7,63,63.3,63.5,63.7
Somalia,56.4,56.7,56.8,56.9,57.1,57.2,57.7
South Africa,54.1,55,55.8,56.7,57.5,58.8,60.4
South Sudan,55.7,56,56.2,56.5,56.7,56.8,57.2
Spain,80.9,81.1,81.4,81.6,81.7,81.7,81.7
Sri Lanka,75.1,74.3,74.5,75.7,75.8,75.9,76.1
Sudan,67,67.4,67.6,68,68.2,68.6,68.9
Suriname,68.9,69.1,69.3,69.5,69.7,69.9,70.1
Svalbard,,,,,,,
Swaziland,45.1,46.1,47.2,47.8,49.2,50.3,50.7
Sweden,80.9,81.1,81.2,81.5,81.6,81.7,81.8
Switzerland,81.7,81.9,82.1,82.3,82.5,82.6,82.7
Syria,76.4,76.6,76.7,76.7,75.1,73.5,72.4
Taiwan,78,78.3,78.6,78.8,78.9,79.1,79.3
Tajikistan,69.2,69.5,69.7,69.9,70.2,70.4,70.6
Tanzania,58.7,59.7,60.3,60.9,61.4,61.6,62.2
Thailand,73.7,74.1,74.4,74.6,74.7,74.8,74.9
Timor-Leste,68.1,68.7,69.3,69.8,70.4,70.9,71.4
Togo,59.7,60,60.5,61,61.7,62.4,63
Tokelau,,,,,,,
Tonga,69.8,69.9,69.8,70.1,70.1,70.2,70.3
Trinidad and Tobago,71.3,71.3,71.2,71.1,71.1,71.1,71.2
Tunisia,76.3,76.5,76.6,76.8,76.9,77,77.1
Turkey,74.7,75.1,75.4,75.7,76,76.2,76.3
Turkmenistan,65.5,65.9,66.3,66.6,67,67.3,67.5
Turks and Caicos Islands,,,,,,,
Tuvalu,,,,,,,
Uganda,56.6,57.2,57.9,58.4,58.8,59.3,59.8
Ukraine,67.6,68.2,69.3,70.4,71.2,71.5,71.7
United Arab Emirates,75.8,76,76.1,76.2,76.2,76.3,76.4
United Kingdom,79.4,79.5,79.7,80,80.4,80.8,81
United States,78.1,78.2,78.3,78.5,78.7,78.8,78.9
Uruguay,75.7,76,76.3,76.5,76.6,76.7,76.9
Uzbekistan,68.5,68.7,68.9,69.1,69.3,69.5,69.7
Wallis et Futuna,,,,,,,
Vanuatu,63.4,63.6,63.8,64,64.2,64.4,64.6
Venezuela,74.6,74.4,74.5,74.7,75,75.2,75.4
West Bank and Gaza,73.7,73.5,73.6,74,74.1,74.3,74.6
Western Sahara,65.79,66.155,66.507,66.844,67.167,67.473,67.764
Vietnam,75.2,75.4,75.6,75.8,76,76.2,76.3
Virgin Islands (U.S.),78.861,79.047,79.247,79.463,79.69,79.922,80.152
Yemen. Rep.,65.5,65.9,66.2,66.5,66.5,66.7,67
Zambia,49.9,52,53.5,54.1,54.6,55.6,56.7
Zimbabwe,48.4,49,49.6,50.4,51.9,54.1,56
?land,,,,,,,
